G1_COD;G1_COMP;G1_TRT;G1_QUANT;G1_PERDA;G1_INI;G1_FIM;G1_NIV
000004;000005;;1.00;0;10/07/2019;31/12/2049;01
000004;000006;;1.00;0;10/07/2019;31/12/2049;01
000004;000007;;1.00;0;10/07/2019;31/12/2049;01
000004;000008;;2.00;0;10/07/2019;31/12/2049;01
000004;000012;;2.00;0;10/07/2019;31/12/2049;01
000004;000013;;2.00;0;10/07/2019;31/12/2049;01
000004;000014;;1.00;0;10/07/2019;31/12/2049;01
000004;000015;;1.00;0;10/07/2019;31/12/2049;01
000004;000016;;1.00;0;10/07/2019;31/12/2049;01
000004;000017;;1.00;0;10/07/2019;31/12/2049;01
000004;000019;;1.00;0;10/07/2019;31/12/2049;01
000004;000020;;1.00;0;10/07/2019;31/12/2049;01
000004;000021;;1.00;0;10/07/2019;31/12/2049;01
000004;000022;;2.00;0;10/07/2019;31/12/2049;01
000004;000023;;2.00;0;10/07/2019;31/12/2049;01
000004;000024;;1.00;0;10/07/2019;31/12/2049;01
000004;000025;;1.00;0;10/07/2019;31/12/2049;01
000004;000026;;1.00;0;10/07/2019;31/12/2049;01
000004;000028;;1.00;0;10/07/2019;31/12/2049;01
000004;000029;;1.00;0;10/07/2019;31/12/2049;01
000004;000030;;1.00;0;10/07/2019;31/12/2049;01
000004;000031;;2.00;0;10/07/2019;31/12/2049;01
000008;000009;;9.00;0;10/07/2019;31/12/2049;02
000008;000010;;2.00;0;10/07/2019;31/12/2049;02
000008;000011;;2.00;0;10/07/2019;31/12/2049;02
000008;000018;;2.00;0;10/07/2019;31/12/2049;02
000008;000027;;2.00;0;10/07/2019;31/12/2049;02